querry_id,total_operators,distinct_operators,ascii_len,part_number
103121,10,4,274,25
18044,72,7,502,25
65476,68,9,401,25
66324,34,8,317,24
5136,20,5,362,26
265675,54,7,1644,34
65239,76,9,756,28
26900,58,9,567,24
130945,36,7,434,19
28088,32,7,555,25
74182,8,4,234,24
54342,8,3,722,34
275232,60,7,472,24
125127,100,8,2863,32
124038,120,8,916,21
54589,20,6,620,33
31482,16,5,279,24
106867,12,5,257,25
104445,8,4,195,24
129969,42,7,253,19
70813,16,6,227,24
87243,14,6,290,31
135160,68,9,621,26
34515,40,7,423,24
103294,10,4,274,25
105474,54,7,1644,34
6474,34,9,311,25
266354,136,8,2107,28
266597,208,8,635,27
39511,12,5,277,25
73662,16,7,731,32
65804,14,5,251,24
74990,12,5,238,24
107890,12,5,236,24
72570,8,4,242,24
64956,60,9,1323,28
29947,16,6,227,24
60109,24,6,263,24
26671,8,4,196,24
178604,224,6,1501,29
118554,16,4,365,26
84567,24,6,372,25
271940,20,6,391,24
8646,14,5,218,24
6228,18,6,289,24
30941,18,9,245,24
38427,24,7,2835,35
118791,48,6,645,26
8408,14,5,256,24
117460,16,5,338,25
52977,46,6,330,20
267679,116,8,908,27
75618,38,6,1028,30
106571,76,9,1206,28
6484,16,8,320,25
74768,12,5,261,25
5155,20,5,306,26
7334,30,8,288,24
104397,12,5,200,24
6246,18,6,289,24
107664,36,7,475,25
73432,16,7,658,31
40733,40,7,614,26
28867,16,6,388,24
70165,86,9,411,25
62787,40,9,3848,33
26688,8,4,253,25
63637,72,7,207,24
65817,10,5,264,24
103061,14,6,5102,44
62307,48,10,1059,30
131539,56,9,645,20
126162,340,8,2428,32
66904,70,9,317,24
60128,30,6,261,24
179929,68,6,1161,28
117694,58,7,869,26
27774,14,6,275,25
68085,70,9,317,24
17978,38,7,422,26
84792,30,8,680,26
74519,32,8,615,27
6494,60,7,320,25
265248,16,5,341,25
103274,10,4,245,25
108965,116,7,502,25
6011,78,7,327,24
6256,14,4,256,24
63881,72,7,207,24
129664,34,8,793,36
128576,14,5,216,31
129424,34,8,843,35
180910,58,8,1172,29
7347,12,5,243,24
26896,46,6,765,25
72595,18,7,290,24
26412,20,6,363,25
130699,18,6,488,21
95234,46,10,563,26
71260,34,6,448,26
29925,12,5,261,24
117440,12,5,254,25
118532,12,5,293,26
46022,70,10,493,25
107627,16,6,292,25
38643,24,7,2835,35
107868,12,5,236,24
17942,38,7,422,26
177771,60,9,423,24
7594,28,7,335,24
74307,10,5,204,24
6264,14,4,256,24
8441,14,5,218,24
93288,16,6,227,24
73218,12,5,246,24
74789,22,7,346,25
73458,16,7,604,30
106314,54,7,1742,35
105225,132,7,8298,34
121929,16,5,283,19
66920,30,8,239,24
8687,14,5,218,24
74544,30,8,480,27
7115,14,4,332,24
74786,46,9,855,27
132884,18,5,359,33
29934,64,7,749,25
27756,6,3,266,25
27995,12,5,317,24
27754,16,6,388,24
133977,30,8,573,34
86509,28,7,330,24
133737,30,8,597,34
73690,16,7,676,31
